solver,instance,sense,status,objval_reported,objbound,solvertime,totaltime,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time
PAJ_CPLEX_MOSEK,clay0303h.cbf,Min,Optimal,26669.109499510723,26669.109556402076,3.739410877227783,3.74194598197937,PAJ_CPLEX_MOSEK.clay0303h.txt,0.0,1.556398274260573e-6,2.1636878955177963e-9,-Inf,-Inf,0.0,Optimal,1.521032155637201e-6,7,2,3,3.99e-02
PAJ_CPLEX_MOSEK,clay0303m.cbf,Min,Optimal,26669.109738759336,26669.10957023541,1.194000005722046,1.1962940692901611,PAJ_CPLEX_MOSEK.clay0303m.txt,0.0,0.0,4.98687597882963e-8,-Inf,-Inf,0.0,Optimal,3.6558337698015425e-14,4,2,2,1.07e-02
PAJ_CPLEX_MOSEK,clay0304h.cbf,Min,Optimal,43138.99040751412,58747.63607547377,17.834414958953857,17.879776000976562,PAJ_CPLEX_MOSEK.clay0304h.txt,0.0,1.6416015114373295e-5,1.9153645780534134e-8,-Inf,-Inf,0.0,Optimal,4.707431550123939e-7,8,2,6,6.50e-02
PAJ_CPLEX_MOSEK,clay0304m.cbf,Min,Optimal,40262.387996499645,40262.3875222926,8.733826875686646,8.736567974090576,PAJ_CPLEX_MOSEK.clay0304m.txt,0.0,0.0,1.333462975594557e-7,-Inf,-Inf,0.0,Optimal,1.0119956777737468e-14,7,2,5,2.66e-02
PAJ_CPLEX_MOSEK,clay0305h.cbf,Min,Optimal,8092.500000000015,8092.5,42.064850091934204,42.07948398590088,PAJ_CPLEX_MOSEK.clay0305h.txt,0.0,1.5631940186722204e-13,0.0,-Inf,-Inf,0.0,Optimal,3.956821739357579e-12,2,2,0,2.07e-02
PAJ_CPLEX_MOSEK,clay0305m.cbf,Min,Optimal,8092.50000006003,8092.500000000001,52.617844104766846,52.621952056884766,PAJ_CPLEX_MOSEK.clay0305m.txt,0.0,0.0,0.0,-Inf,-Inf,0.0,Optimal,8.316664547115329e-15,4,4,0,1.86e-02
PAJ_CPLEX_MOSEK_dualonly,100_0_5_w.cbf,Min,UserLimit,1.7252369800306123e7,1.7246974979381524e7,3600.3496301174164,3600.4167399406433,PAJ_CPLEX_MOSEK_dualonly.100_0_5_w.txt,2.159291935879912e-16,5.674550629919395e-5,-Inf,1.8855076477919397e-7,-Inf,0.0,Optimal,1.626985878996176e-9,1,1,0,2.74e-01
PAJ_CPLEX_MOSEK_dualonly,10_0_5_w.cbf,Min,Optimal,1.956871266927484e6,1.9568712670066962e6,2.5653879642486572,2.600847005844116,PAJ_CPLEX_MOSEK_dualonly.10_0_5_w.txt,1.1898107330250748e-16,3.000286596943624e-8,-Inf,1.0661855842641899e-9,-Inf,0.0,Optimal,3.430147005596115e-10,2,2,0,3.53e-02
PAJ_CPLEX_MOSEK_dualonly,150_0_5_w.cbf,Min,UserLimit,2.4072954476779573e7,2.4064518938829e7,3600.58922791481,3600.6747732162476,PAJ_CPLEX_MOSEK_dualonly.150_0_5_w.txt,3.0950004928188403e-16,0.00010865491276490502,-Inf,2.5972822703668186e-7,-Inf,0.0,Optimal,9.755713913404303e-9,1,1,0,4.74e-01
PAJ_CPLEX_MOSEK_dualonly,200_0_5_w.cbf,Min,UserLimit,3.4223219975525185e7,3.421118297148676e7,3600.879630088806,3600.980978012085,PAJ_CPLEX_MOSEK_dualonly.200_0_5_w.txt,4.354108469192629e-16,7.106765770004131e-5,-Inf,2.392759443914372e-7,-Inf,0.0,Optimal,1.4068551601998107e-8,1,1,0,7.26e-01
